"","NAME","COLOR","SEX","DISTANCE_MILES","SPEED_YPM","TYPE"
"1","KEN ROBINSO/5","blue bar","cock","117.233",1303.1,"YOUNG BIRD"
"2","KEN ROBINSON","blue bar","cock","2/5",1301.9,"YOUNG BIRD"
"3","NATHAN     /5","blue bar","hen","114.084",1287.1,"YOUNG BIRD"
"4","NATHAN","blue bar","hen","2/5",1286.9,"YOUNG BIRD"
"5","R & M LOFT /5","blue bar","hen","114.084",1286.8,"YOUNG BIRD"
"6","R & M LOFT","complex","hen","2/5",1286.5,"YOUNG BIRD"
"7","R & M LOFT","complex","hen","3/5",1286.3,"YOUNG BIRD"
"8","NATHAN","red check","hen","3/5",1286.2,"YOUNG BIRD"
"9","R & M LOFT","blue bar","hen","4/5",1284.5,"YOUNG BIRD"
"10","DILLARD LOF/5","complex","hen","130.847",1284.1,"YOUNG BIRD"
"11","Wegge Wings/5","complex","cock","130.794",1283,"YOUNG BIRD"
"12","Larry Mitch/5","complex","cock","98.152",1282.9,"YOUNG BIRD"
"13","Larry Mitchel","blue bar","hen","2/5",1282.8,"YOUNG BIRD"
"14","Larry Mitchel","blue bar","hen","3/5",1282.5,"YOUNG BIRD"
"15","FAST LANE  /5","blue bar","hen","130.407",1280.1,"YOUNG BIRD"
"16","FAST LANE","complex","hen","2/5",1279.7,"YOUNG BIRD"
"17","JIM ROBINSO/5","blue bar","cock","106.246",1273.5,"YOUNG BIRD"
"18","JIM ROBINSON","complex","cock","2/5",1272.9,"YOUNG BIRD"
"19","NATHAN","complex","hen","4/5",1269,"YOUNG BIRD"
"20","DILLARD LOFT","complex","hen","2/5",1258.3,"YOUNG BIRD"
"21","LIU LOFT   /5","complex","hen","154.517",1242.3,"YOUNG BIRD"
"22","TRIPLE G LO/5","complex","hen","124.195",1225.3,"YOUNG BIRD"
"23","DFL/WINDSON/5","grizzled","hen","137.689",1212.4,"YOUNG BIRD"
"24","Steve Trott/5","grizzled","cock","130.856",1205.1,"YOUNG BIRD"
"25","JOHNS LOFT /4","red check","hen","139.616",1192.1,"YOUNG BIRD"
"26","Jeff Lamber/1","complex","hen","131.944",1188.8,"YOUNG BIRD"
"27","Rick Weig  /5","complex","hen","144.352",1183.6,"YOUNG BIRD"
"28","Jerry Meado/5","complex","cock","133.368",1151.7,"YOUNG BIRD"
"29","2 TWISTED S/3","blue bar","hen","145.348",1124.6,"YOUNG BIRD"
"30","Lucky 13 Lo/5","complex","cock","120.192",902,"YOUNG BIRD"
"31","NI LOFT    /5","grizzled","hen","143.525",886.7,"YOUNG BIRD"
"32","FLOYD      /5","blue check","hen","142.428",784.4,"YOUNG BIRD"
