"","Color","Sex","Yds/Min","Points","Year","HighScore","Org."
"1",1,3,1303.133,97,2015,1,1
"2",1,3,1301.9,93,2015,1,1
"3",1,2,1287.131,87,2015,1,1
"4",1,2,1286.938,83,2015,1,1
"5",1,2,1286.773,77,2015,2,1
"6",5,2,1286.54,72,2015,2,1
"7",5,2,1286.279,67,2015,2,1
"8",9,2,1286.224,62,2015,2,1
"9",1,2,1284.55,57,2015,2,1
"10",5,2,1284.146,52,2015,2,1
"11",5,3,1283.03,48,2015,2,1
"12",5,3,1282.934,42,2015,2,1
"13",1,2,1282.775,37,2015,2,1
"14",1,2,1282.458,32,2015,2,1
"15",1,2,1280.07,27,2015,2,1
"16",5,2,1279.713,22,2015,2,1
"17",1,3,1273.51,17,2015,2,1
"18",5,3,1272.933,11,2015,2,1
"19",5,2,1269.017,7,2015,2,1
"20",5,2,1258.302,36,2015,2,1
"21",5,2,1242.255,1,2015,2,1
"22",5,2,1225.283,1,2015,2,1
"23",2,2,1212.402,1,2015,2,1
"24",2,3,1205.108,1,2015,2,1
"25",9,2,1192.132,1,2015,2,1
"26",5,2,1188.845,1,2015,2,1
"27",5,2,1183.574,1,2015,2,1
"28",5,3,1151.659,1,2015,2,1
"29",1,2,1124.616,1,2015,2,1
"30",5,3,902.018,1,2015,2,1
"31",2,2,886.693,1,2015,2,1
"32",6,2,784.418,1,2015,2,1
"33",5,2,836.1,98,2014,1,1
"34",1,2,785.047,94,2014,1,1
"35",1,2,784.677,89,2014,1,1
"36",1,2,784.646,85,2014,1,1
"37",6,2,784.507,81,2014,1,1
"38",5,2,778.956,76,2014,2,1
"39",5,3,775.931,72,2014,2,1
"40",1,2,769.235,66,2014,2,1
"41",5,2,747.688,62,2014,2,1
"42",9,2,739.558,57,2014,2,1
"43",5,2,721.287,53,2014,2,1
"44",5,2,721.25,49,2014,2,1
"45",1,2,721.212,44,2014,2,1
"46",5,2,721.137,40,2014,2,1
"47",1,3,713.653,35,2014,2,1
"48",1,3,702.179,31,2014,2,1
"49",1,2,699.954,27,2014,2,1
"50",1,3,693.516,22,2014,2,1
"51",1,3,687.89,18,2014,2,1
"52",5,2,672.178,13,2014,2,1
"53",6,2,659.457,9,2014,2,1
"54",5,2,650.074,5,2014,2,1
"55",1,2,642.19,69,2014,2,1
"56",5,2,625.687,14,2014,2,1
"57",6,2,623.045,1,2014,2,1
"58",1,3,622.684,1,2014,2,1
"59",5,3,622.215,1,2014,2,1
"60",5,2,609,1,2014,2,1
"61",5,2,608.733,1,2014,2,1
"62",5,3,604.838,1,2014,2,1
"63",1,2,599.697,1,2014,2,1
"64",1,2,597.528,1,2014,2,1
"65",5,2,566.073,1,2014,2,1
"66",1,3,522.815,1,2014,2,1
"67",5,2,506.46,1,2014,2,1
"68",2,2,502.898,1,2014,2,1
"69",5,3,1240.828,99,2013,1,1
"70",5,3,1238.539,95,2013,1,1
"71",5,3,1238.283,92,2013,1,1
"72",1,2,1236.816,87,2013,1,1
"73",1,3,1222.633,84,2013,1,1
"74",1,3,1222.148,79,2013,2,1
"75",5,2,1221.976,76,2013,2,1
"76",5,3,1221.304,72,2013,2,1
"77",5,2,1220.664,68,2013,2,1
"78",5,2,1217.094,64,2013,2,1
"79",5,2,1216.279,61,2013,2,1
"80",5,3,1213.329,56,2013,2,1
"81",5,3,1213.083,53,2013,2,1
"82",5,2,1209.512,49,2013,2,1
"83",5,3,1207.172,45,2013,2,1
"84",1,2,1195.502,41,2013,2,1
"85",5,2,1190.074,38,2013,2,1
"86",1,2,1189.131,34,2013,2,1
"87",1,2,1184.618,30,2013,2,1
"88",1,2,1182.783,27,2013,2,1
"89",1,3,1164.573,22,2013,2,1
"90",5,3,1151.34,19,2013,2,1
"91",5,2,1146.554,15,2013,2,1
"92",9,3,1144.677,11,2013,2,1
"93",1,2,1144.608,7,2013,2,1
"94",1,2,1144.057,4,2013,2,1
"95",9,2,1143.581,58,2013,2,1
"96",5,3,1142.101,25,2013,2,1
"97",5,3,1138.884,1,2013,2,1
"98",5,3,1129.04,1,2013,2,1
"99",5,3,1128.731,1,2013,2,1
"100",5,1,1124.763,1,2013,2,1
"101",5,3,1112.858,1,2013,2,1
"102",1,2,1110.184,1,2013,2,1
"103",5,2,1095.507,1,2013,2,1
